konuID,konuAlt
1,Macera
2,Tarihi
3,Romantik
4,Bilim Kurgu/Fantastik
5,Gizem/Polisiye/Gerilim
6,Psikolojik
7,Distopya
8,Genç Yetişkin
9,Dünya Klasikleri
10,Yerel Klasikler
11,Lirik Şiir
12,Epik Şiir
13,Halk Şiiri
14,Tragedya
15,Komedi
16,Monologlar
17,Biyografi
18,Otobiyografi
19,Anı
20,Deneme
21,Popüler Bilim
22,Teknoloji ve Bilgisayar
23,Resim ve Görsel Sanatlar
24,Müzik Tarihi
25,Sanat Teorisi
26,Dünya Tarihi
27,İnsanlık Tarihi
28,Savaş Tarihi
29,Türkiye Tarihi
30,Din Kitapları
31,Felsefe Kitapları
32,Çocuk Kitapları
33,Gençlik Kitapları
34,Masal
35,Seyehat Rehberleri
